seq_id,hubway_id,status,duration,start_date,strt_statn,end_date,end_statn,bike_nr,subsc_type,zip_code,birth_date,gender
1464,1621,Closed,629,7/30/2011 17:13,5,7/30/2011 17:23,21,B00540,Registered,'01760,1973,1
1465,1622,Closed,2540,7/30/2011 17:21,23,7/30/2011 18:03,23,B00320,Casual,,,
1466,1623,Closed,3836,7/30/2011 17:21,40,7/30/2011 18:25,45,B00479,Casual,,,
1467,1624,Closed,2532,7/30/2011 17:21,23,7/30/2011 18:03,23,B00347,Casual,,,
1468,1625,Closed,3877,7/30/2011 17:20,40,7/30/2011 18:25,45,B00265,Casual,,,
1469,1626,Closed,5301,7/30/2011 17:20,47,7/30/2011 18:49,47,B00157,Casual,,,
1470,1627,Closed,905,7/30/2011 17:21,30,7/30/2011 17:36,41,B00218,Casual,,,
1471,1628,Closed,1303,7/30/2011 17:24,39,7/30/2011 17:46,21,B00490,Casual,,,
1472,1629,Closed,1334,7/30/2011 17:23,39,7/30/2011 17:45,21,B00302,Casual,,,
1473,1630,Closed,841,7/30/2011 17:23,9,7/30/2011 17:37,8,B00056,Casual,,,
1474,1631,Closed,896,7/30/2011 17:23,24,7/30/2011 17:38,49,B00142,Casual,,,
1475,1633,Closed,809,7/30/2011 17:23,9,7/30/2011 17:37,8,B00464,Casual,,,
1476,1634,Closed,3177,7/30/2011 17:24,36,7/30/2011 18:17,14,B00251,Casual,,,
1477,1635,Closed,298,7/30/2011 17:26,10,7/30/2011 17:31,41,B00042,Casual,,,
1478,1636,Closed,1382,7/30/2011 17:27,42,7/30/2011 17:50,41,B00454,Casual,,,
1479,1637,Closed,796,7/30/2011 17:29,42,7/30/2011 17:42,12,B00348,Casual,,,
1480,1638,Closed,792,7/30/2011 17:29,42,7/30/2011 17:42,12,B00562,Casual,,,
1481,1640,Closed,3492,7/30/2011 17:32,40,7/30/2011 18:30,34,B00316,Casual,,,
1482,1641,Closed,822,7/30/2011 17:30,23,7/30/2011 17:44,16,B00281,Registered,'02116,1984,2
1483,1642,Closed,814,7/30/2011 17:32,42,7/30/2011 17:45,12,B00417,Casual,,,
1484,1644,Closed,759,7/30/2011 17:32,42,7/30/2011 17:45,12,B00366,Casual,,,
1485,1646,Closed,3200,7/30/2011 17:35,36,7/30/2011 18:29,23,B00216,Casual,,,
1486,1647,Closed,2864,7/30/2011 17:37,40,7/30/2011 18:25,45,B00074,Casual,,,
1487,1648,Closed,2252,7/30/2011 17:39,21,7/30/2011 18:17,21,B00540,Casual,,,
1488,1649,Closed,7044,7/30/2011 17:39,36,7/30/2011 19:36,50,B00425,Casual,,,
1489,1650,Closed,2278,7/30/2011 17:39,21,7/30/2011 18:17,21,B00220,Casual,,,
1490,1651,Closed,7012,7/30/2011 17:39,36,7/30/2011 19:36,50,B00071,Casual,,,
1491,1652,Closed,1012,7/30/2011 17:42,52,7/30/2011 17:59,27,B00359,Casual,,,
1492,1653,Closed,2871,7/30/2011 17:40,36,7/30/2011 18:28,23,B00083,Casual,,,
1493,1654,Closed,24251,7/30/2011 17:41,8,7/31/2011 0:25,46,B00053,Casual,,,
1494,1655,Closed,1032,7/30/2011 17:44,38,7/30/2011 18:01,27,B00387,Casual,,,
1495,1656,Closed,1017,7/30/2011 17:42,52,7/30/2011 17:59,27,B00066,Casual,,,
1496,1657,Closed,11559,7/30/2011 17:44,36,7/30/2011 20:57,46,B00284,Casual,,,
1497,1658,Closed,11560,7/30/2011 17:44,36,7/30/2011 20:56,46,B00329,Casual,,,
